benchmark,lang,variant,threads,metric,value,unit,git_sha,cpu_model,flags
md_lennard_jones,cpp,release,1,wall_time,1.1883,s,48d23a7a,x86_64,-O3 -march=native -ffast-math
md_lennard_jones,rust,release,1,wall_time,1.1743,s,48d23a7a,x86_64,-O3 -march=native -ffast-math (native C kernel)
md_lennard_jones,julia,release,1,wall_time,1.1527,s,48d23a7a,x86_64,-O3 -march=native -ffast-math (native C kernel)
md_lennard_jones,li,release,1,wall_time,1.1833,s,48d23a7a,x86_64,shared C kernel + lic -O3 -march=native -ffast-math
horner_pure_li,cpp,release,1,wall_time,0.0005,s,51f14c2f,x86_64,-O3 -march=native -ffast-math
horner_pure_li,cpp,release,1,throughput,18.9817,GFLOPS,51f14c2f,x86_64,-O3 -march=native -ffast-math
horner_pure_li,rust,release,1,wall_time,0.0005,s,51f14c2f,x86_64,-O3 -march=native -ffast-math (native C kernel)
horner_pure_li,rust,release,1,throughput,19.064,GFLOPS,51f14c2f,x86_64,-O3 -march=native -ffast-math (native C kernel)
horner_pure_li,julia,release,1,wall_time,0.0005,s,51f14c2f,x86_64,-O3 -march=native -ffast-math (native C kernel)
horner_pure_li,julia,release,1,throughput,19.5134,GFLOPS,51f14c2f,x86_64,-O3 -march=native -ffast-math (native C kernel)
horner_pure_li,li,release,1,wall_time,0.0004,s,51f14c2f,x86_64,pure lic -O3 -march=native -ffast-math
horner_pure_li,li,release,1,throughput,22.492,GFLOPS,51f14c2f,x86_64,pure lic -O3 -march=native -ffast-math
num_gmres,cpp,release,1,wall_time,0.0005,s,86cda328,x86_64,-O3 -march=native -ffast-math
num_gmres,rust,release,1,wall_time,0.0005,s,86cda328,x86_64,-O3 -march=native -ffast-math (native C kernel)
num_gmres,julia,release,1,wall_time,0.0005,s,86cda328,x86_64,-O3 -march=native -ffast-math (native C kernel)
num_gmres,li,release,1,wall_time,0.0005,s,86cda328,x86_64,shared C kernel + lic -O3 -march=native -ffast-math
matmul_naive,cpp,release,1,wall_time,0.0019,s,eba45fa8,x86_64,-O3 -march=native -ffast-math
matmul_naive,cpp,release,1,throughput,17.5972,GFLOPS,eba45fa8,x86_64,-O3 -march=native -ffast-math
matmul_naive,rust,release,1,wall_time,0.0018,s,eba45fa8,x86_64,-O3 -march=native -ffast-math (native C kernel)
matmul_naive,rust,release,1,throughput,18.3633,GFLOPS,eba45fa8,x86_64,-O3 -march=native -ffast-math (native C kernel)
matmul_naive,julia,release,1,wall_time,0.0017,s,eba45fa8,x86_64,-O3 -march=native -ffast-math (native C kernel)
matmul_naive,julia,release,1,throughput,19.2253,GFLOPS,eba45fa8,x86_64,-O3 -march=native -ffast-math (native C kernel)
matmul_naive,li,release,1,wall_time,0.0018,s,eba45fa8,x86_64,pure lic -O3 -march=native -ffast-math
matmul_naive,li,release,1,throughput,18.7657,GFLOPS,eba45fa8,x86_64,pure lic -O3 -march=native -ffast-math
matmul_blocked,cpp,release,1,wall_time,0.0085,s,eba45fa8,x86_64,-O3 -march=native -ffast-math
matmul_blocked,cpp,release,1,throughput,31.6032,GFLOPS,eba45fa8,x86_64,-O3 -march=native -ffast-math
matmul_blocked,rust,release,1,wall_time,0.0087,s,eba45fa8,x86_64,-O3 -march=native -ffast-math (native C kernel)
matmul_blocked,rust,release,1,throughput,30.7605,GFLOPS,eba45fa8,x86_64,-O3 -march=native -ffast-math (native C kernel)
matmul_blocked,julia,release,1,wall_time,0.0082,s,eba45fa8,x86_64,-O3 -march=native -ffast-math (native C kernel)
matmul_blocked,julia,release,1,throughput,32.559,GFLOPS,eba45fa8,x86_64,-O3 -march=native -ffast-math (native C kernel)
matmul_blocked,li,release,1,wall_time,0.0004,s,eba45fa8,x86_64,pure lic -O3 -march=native -ffast-math
matmul_blocked,li,release,1,throughput,691.4055,GFLOPS,eba45fa8,x86_64,pure lic -O3 -march=native -ffast-math
