benchmark,lang,variant,threads,metric,value,stddev,sample_runs,unit,git_sha,cpu_model,flags,os,passed,oracle_kind,verify_abs_err,verify_rel_err,verify_ulps,verify_within_1ulp
three_body,li,release,1,wall_time,0.42,s,0c313cf0,x86_64,-O3,,,linux,,,,,,
three_body,cpp,release,1,wall_time,0.38,s,0c313cf0,x86_64,-O3 -march=native,,,linux,,,,,,
three_body,rust,release,1,wall_time,0.41,s,0c313cf0,x86_64,--release,,,linux,,,,,,
three_body,julia,release,1,wall_time,0.55,s,0c313cf0,x86_64,-O3,,,linux,,,,,,
md_lennard_jones,li,release,1,wall_time,1.2,s,0c313cf0,x86_64,-O3,,,linux,,,,,,
md_lennard_jones,cpp,release,1,wall_time,1.0,s,0c313cf0,x86_64,-O3,,,linux,,,,,,
md_lennard_jones,li,release,8,wall_time,0.22,s,0c313cf0,x86_64,-O3 --threads=8,,,linux,,,,,,
simd_dot,li,release,1,throughput,4.8,GFLOPS,0c313cf0,x86_64,simd,,,linux,,,,,,
simd_dot,cpp,release,1,throughput,5.1,GFLOPS,0c313cf0,x86_64,simd,,,linux,,,,,,
advection_diffusion_2d,li,release,1,wall_time,0.65,s,0c313cf0,x86_64,-O3,,,linux,,,,,,
advection_diffusion_2d,cpp,release,1,wall_time,0.6,s,0c313cf0,x86_64,-O3,,,linux,,,,,,
wave_equation_2d,li,release,1,wall_time,0.9,s,0c313cf0,x86_64,-O3,,,linux,,,,,,
wave_equation_2d,cpp,release,1,wall_time,0.85,s,0c313cf0,x86_64,-O3,,,linux,,,,,,
sph_dam_break_2d,li,release,1,wall_time,1.5,s,0c313cf0,x86_64,-O3,,,linux,,,,,,
sph_dam_break_2d,cpp,release,1,wall_time,1.4,s,0c313cf0,x86_64,-O3,,,linux,,,,,,
num_integ_euler,cpp,release,1,wall_time,0.0102,0.001126,78,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_integ_euler,rust,release,1,wall_time,0.0093,0.000682,107,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_integ_euler,julia,release,1,wall_time,0.0095,0.00095,104,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_integ_euler,li,release,1,wall_time,0.0121,0.001056,84,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_eig_symmetric,cpp,release,1,wall_time,0.0092,0.00093,93,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_eig_symmetric,rust,release,1,wall_time,0.0085,0.000735,102,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_eig_symmetric,julia,release,1,wall_time,0.0088,0.000841,116,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_eig_symmetric,li,release,1,wall_time,0.0113,0.001063,91,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_integ_verlet,cpp,release,1,wall_time,0.0109,0.001091,73,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_integ_verlet,rust,release,1,wall_time,0.0101,0.00069,97,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_integ_verlet,julia,release,1,wall_time,0.0104,0.000938,98,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_integ_verlet,li,release,1,wall_time,0.0129,0.001002,79,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
matmul_naive,cpp,release,1,wall_time,0.012,0.001304,61,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
matmul_naive,cpp,release,1,throughput,2.7852,,,GFLOPS,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
matmul_naive,rust,release,1,wall_time,0.0106,0.000767,102,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
matmul_naive,rust,release,1,throughput,3.1593,,,GFLOPS,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
matmul_naive,julia,release,1,wall_time,0.0111,0.001013,93,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
matmul_naive,julia,release,1,throughput,3.0251,,,GFLOPS,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
matmul_naive,li,release,1,wall_time,0.014,0.001079,73,s,525456f8,x86_64,pure lic -O3 -march=native -ffast-math,linux,,,,,,
matmul_naive,li,release,1,throughput,2.4019,,,GFLOPS,525456f8,x86_64,pure lic -O3 -march=native -ffast-math,linux,,,,,,
num_integ_rk4,cpp,release,1,wall_time,0.0102,0.001038,88,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_integ_rk4,rust,release,1,wall_time,0.0094,0.000753,99,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_integ_rk4,julia,release,1,wall_time,0.0097,0.001004,109,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_integ_rk4,li,release,1,wall_time,0.0121,0.000993,85,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_root_newton,cpp,release,1,wall_time,0.0091,0.001084,90,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_root_newton,rust,release,1,wall_time,0.0085,0.000713,118,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_root_newton,julia,release,1,wall_time,0.0088,0.000955,120,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_root_newton,li,release,1,wall_time,0.0111,0.001204,92,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_rng_pcg,cpp,release,1,wall_time,0.0186,0.001487,46,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_rng_pcg,rust,release,1,wall_time,0.0173,0.001049,55,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_rng_pcg,julia,release,1,wall_time,0.018,0.00148,61,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_rng_pcg,li,release,1,wall_time,0.0205,0.000854,49,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_integ_semi_implicit,cpp,release,1,wall_time,0.01,0.001123,113,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_integ_semi_implicit,rust,release,1,wall_time,0.0093,0.000647,108,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_integ_semi_implicit,julia,release,1,wall_time,0.0098,0.000956,112,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_integ_semi_implicit,li,release,1,wall_time,0.0119,0.001477,78,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_opt_bfgs,cpp,release,1,wall_time,0.0091,0.000978,91,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_opt_bfgs,rust,release,1,wall_time,0.0085,0.000755,119,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_opt_bfgs,julia,release,1,wall_time,0.0088,0.000985,121,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_opt_bfgs,li,release,1,wall_time,0.0109,0.00143,96,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_cg,cpp,release,1,wall_time,0.0092,0.001017,88,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_cg,rust,release,1,wall_time,0.0085,0.000776,124,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_cg,julia,release,1,wall_time,0.0089,0.001007,129,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_cg,li,release,1,wall_time,0.0109,0.001427,86,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_integ_symplectic,cpp,release,1,wall_time,0.01,0.001117,81,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
