benchmark,lang,variant,threads,metric,value,stddev,sample_runs,unit,git_sha,cpu_model,flags,os,passed,oracle_kind,verify_abs_err,verify_rel_err,verify_ulps,verify_within_1ulp
three_body,cpp,release,1,wall_time,0.1817,0.001643,20,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
three_body,rust,release,1,wall_time,0.1807,0.001243,20,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
three_body,julia,release,1,wall_time,0.1818,0.002064,20,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
three_body,li,release,1,wall_time,0.1817,0.00168,20,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_longrange_ewald,cpp,release,1,wall_time,2.1596,0.056119,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_longrange_ewald,rust,release,1,wall_time,2.0912,0.009324,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_longrange_ewald,julia,release,1,wall_time,2.1099,0.010408,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_longrange_ewald,li,release,1,wall_time,2.0729,0.157571,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_constraints_rattle,cpp,release,1,wall_time,2.1467,0.061425,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_constraints_rattle,rust,release,1,wall_time,2.0836,0.056869,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_constraints_rattle,julia,release,1,wall_time,2.177,0.017377,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_constraints_rattle,li,release,1,wall_time,2.1177,0.088664,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_neighbor_verlet_skin,cpp,release,1,wall_time,2.2029,0.039577,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_neighbor_verlet_skin,rust,release,1,wall_time,2.137,0.002475,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_neighbor_verlet_skin,julia,release,1,wall_time,2.1728,0.07406,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_neighbor_verlet_skin,li,release,1,wall_time,1.9702,0.055259,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_thermostat_berendsen,cpp,release,1,wall_time,2.0919,0.079274,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_thermostat_berendsen,rust,release,1,wall_time,2.1467,0.075308,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_thermostat_berendsen,julia,release,1,wall_time,2.0605,0.033313,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_thermostat_berendsen,li,release,1,wall_time,2.1192,0.007305,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_barostat_parrinello_rahman,cpp,release,1,wall_time,2.1827,0.008624,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_barostat_parrinello_rahman,rust,release,1,wall_time,2.172,0.06732,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_barostat_parrinello_rahman,julia,release,1,wall_time,2.0918,0.001267,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_barostat_parrinello_rahman,li,release,1,wall_time,2.1537,0.082041,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_energy_drift,cpp,release,1,wall_time,2.2029,0.012338,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_energy_drift,rust,release,1,wall_time,2.2093,0.038779,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_energy_drift,julia,release,1,wall_time,2.1032,0.036495,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_energy_drift,li,release,1,wall_time,2.0285,0.059953,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_neighbor_cell_list,cpp,release,1,wall_time,2.1452,0.020385,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_neighbor_cell_list,rust,release,1,wall_time,2.1931,0.020113,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_neighbor_cell_list,julia,release,1,wall_time,2.1422,0.095291,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_neighbor_cell_list,li,release,1,wall_time,2.0638,0.029681,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_thermostat_nose_hoover,cpp,release,1,wall_time,2.1232,0.032242,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_thermostat_nose_hoover,rust,release,1,wall_time,2.1905,0.063355,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_thermostat_nose_hoover,julia,release,1,wall_time,2.1575,0.074569,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_thermostat_nose_hoover,li,release,1,wall_time,2.1539,0.165422,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_constraints_shake,cpp,release,1,wall_time,2.1709,0.077444,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_constraints_shake,rust,release,1,wall_time,2.1644,0.042065,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_constraints_shake,julia,release,1,wall_time,2.1335,0.016791,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_constraints_shake,li,release,1,wall_time,2.0931,0.040565,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_lennard_jones,cpp,release,1,wall_time,2.2147,0.017485,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_lennard_jones,rust,release,1,wall_time,2.2108,0.11109,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_lennard_jones,julia,release,1,wall_time,2.1416,0.005607,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_lennard_jones,li,release,1,wall_time,2.0154,0.0505,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_integrator_verlet,cpp,release,1,wall_time,2.2177,0.013847,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_integrator_verlet,rust,release,1,wall_time,2.1641,0.046211,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_integrator_verlet,julia,release,1,wall_time,2.1148,0.136038,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_integrator_verlet,li,release,1,wall_time,2.0802,0.059857,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_integrator_leapfrog,cpp,release,1,wall_time,2.3174,0.047733,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_integrator_leapfrog,rust,release,1,wall_time,2.2378,0.092894,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_integrator_leapfrog,julia,release,1,wall_time,2.0462,0.040408,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_integrator_leapfrog,li,release,1,wall_time,2.1372,0.030447,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_longrange_pme,cpp,release,1,wall_time,2.1835,0.101131,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_longrange_pme,rust,release,1,wall_time,2.1425,0.127047,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_longrange_pme,julia,release,1,wall_time,2.2099,0.056477,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_longrange_pme,li,release,1,wall_time,2.1152,0.218662,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_oracle_external,cpp,release,1,wall_time,2.268,0.109584,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_oracle_external,rust,release,1,wall_time,2.1951,0.06791,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_oracle_external,julia,release,1,wall_time,2.1929,0.018881,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_oracle_external,li,release,1,wall_time,2.0059,0.256142,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_init_fcc_mb,cpp,release,1,wall_time,2.2298,0.054083,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_init_fcc_mb,rust,release,1,wall_time,2.2738,0.008104,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_init_fcc_mb,julia,release,1,wall_time,2.1768,0.138025,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_init_fcc_mb,li,release,1,wall_time,2.1506,0.069006,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
