benchmark,lang,variant,threads,metric,value,stddev,sample_runs,unit,git_sha,cpu_model,flags,os,passed,oracle_kind,verify_abs_err,verify_rel_err,verify_ulps,verify_within_1ulp
rigid_body_stack,cpp,release,1,wall_time,0.003,0.000243,200,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
rigid_body_stack,rust,release,1,wall_time,0.0029,0.000259,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
rigid_body_stack,julia,release,1,wall_time,0.0032,0.000301,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
rigid_body_stack,li,release,1,wall_time,0.0034,0.00025,200,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
ragdoll_chain,cpp,release,1,wall_time,0.0032,0.000238,200,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
ragdoll_chain,rust,release,1,wall_time,0.0031,0.000261,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
ragdoll_chain,julia,release,1,wall_time,0.0034,0.000303,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
ragdoll_chain,li,release,1,wall_time,0.0035,0.000336,200,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
orbit_two_body,cpp,release,1,wall_time,0.0036,0.000274,200,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
orbit_two_body,rust,release,1,wall_time,0.0036,0.000299,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
orbit_two_body,julia,release,1,wall_time,0.0038,0.000244,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
orbit_two_body,li,release,1,wall_time,0.0037,0.000287,200,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
cloth_swing,cpp,release,1,wall_time,0.0037,0.000253,200,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
cloth_swing,rust,release,1,wall_time,0.0036,0.00028,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
cloth_swing,julia,release,1,wall_time,0.0038,0.000245,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
cloth_swing,li,release,1,wall_time,0.0037,0.000293,200,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
harmonic_oscillator_chain,cpp,release,1,wall_time,0.1008,0.011781,20,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
harmonic_oscillator_chain,rust,release,1,wall_time,0.0954,0.007296,20,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
harmonic_oscillator_chain,julia,release,1,wall_time,0.0951,0.007603,20,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
harmonic_oscillator_chain,li,release,1,wall_time,0.0962,0.00995,20,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
three_body_pure,cpp,release,1,wall_time,0.1759,0.005636,20,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
three_body_pure,rust,release,1,wall_time,0.171,0.001916,20,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
three_body_pure,julia,release,1,wall_time,0.1708,0.001854,20,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
three_body_pure,li,release,1,wall_time,0.1705,0.001899,20,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
nbody_gravity,cpp,release,1,wall_time,1.4999,0.008296,2,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
nbody_gravity,rust,release,1,wall_time,1.4632,0.015275,2,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
nbody_gravity,julia,release,1,wall_time,1.4375,0.010852,2,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
nbody_gravity,li,release,1,wall_time,1.4468,0.000223,2,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
double_pendulum,cpp,release,1,wall_time,0.3195,0.014799,20,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
double_pendulum,rust,release,1,wall_time,0.3141,0.010833,20,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
double_pendulum,julia,release,1,wall_time,0.3158,0.019318,20,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
double_pendulum,li,release,1,wall_time,0.3076,0.003422,20,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
