benchmark,lang,variant,threads,metric,value,stddev,sample_runs,unit,git_sha,cpu_model,flags,os,passed,oracle_kind,verify_abs_err,verify_rel_err,verify_ulps,verify_within_1ulp
combustion_passive,cpp,release,1,wall_time,0.0035,0.000311,200,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
combustion_passive,rust,release,1,wall_time,0.0033,0.000174,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
combustion_passive,julia,release,1,wall_time,0.0033,0.000205,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
combustion_passive,li,release,1,wall_time,0.0038,0.000255,200,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
wind_field_bc,cpp,release,1,wall_time,0.0035,0.000328,200,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
wind_field_bc,rust,release,1,wall_time,0.0033,0.000164,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
wind_field_bc,julia,release,1,wall_time,0.0034,0.000229,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
wind_field_bc,li,release,1,wall_time,0.0039,0.00023,200,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
euler_fluid_2d,cpp,release,1,wall_time,0.0035,0.000313,200,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
euler_fluid_2d,rust,release,1,wall_time,0.0033,0.000183,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
euler_fluid_2d,julia,release,1,wall_time,0.0034,0.000225,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
euler_fluid_2d,li,release,1,wall_time,0.0038,0.000337,200,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
fdtd_waveguide_2d,cpp,release,1,wall_time,0.0035,0.000299,200,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
fdtd_waveguide_2d,rust,release,1,wall_time,0.0033,0.000164,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
fdtd_waveguide_2d,julia,release,1,wall_time,0.0034,0.000174,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
fdtd_waveguide_2d,li,release,1,wall_time,0.0037,0.000404,200,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
schrodinger_1d_barrier,cpp,release,1,wall_time,0.0039,0.000306,200,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
schrodinger_1d_barrier,rust,release,1,wall_time,0.0037,0.000189,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
schrodinger_1d_barrier,julia,release,1,wall_time,0.0037,0.000166,200,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
schrodinger_1d_barrier,li,release,1,wall_time,0.0039,0.000574,200,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
advection_diffusion_2d,cpp,release,1,wall_time,0.0842,0.005097,20,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
advection_diffusion_2d,rust,release,1,wall_time,0.0814,0.004792,20,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
advection_diffusion_2d,julia,release,1,wall_time,0.0831,0.007052,20,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
advection_diffusion_2d,li,release,1,wall_time,0.0822,0.006669,20,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
heat_equation_2d,cpp,release,1,wall_time,0.1133,0.01679,20,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
heat_equation_2d,rust,release,1,wall_time,0.1062,0.006339,20,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
heat_equation_2d,julia,release,1,wall_time,0.1064,0.004795,20,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
heat_equation_2d,li,release,1,wall_time,0.1067,0.005109,20,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
wave_equation_1d,cpp,release,1,wall_time,1.2387,0.024803,2,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
wave_equation_1d,rust,release,1,wall_time,1.2677,0.051464,2,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
wave_equation_1d,julia,release,1,wall_time,1.2837,0.100323,2,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
wave_equation_1d,li,release,1,wall_time,1.2046,0.025079,2,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
wave_equation_2d,cpp,release,1,wall_time,0.2117,0.018503,20,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
